자치구별,계약월,본번,부번,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도
성동구,10,617.0,2.0,80.0,202110.0,148596.0,1900.0,2021.0
성동구,11,560.0,29.0,87.0,202111.0,157346.0,1781.0,2021.0
성동구,12,726.0,4.0,74.0,202112.0,146517.0,1972.0,2021.0
성북구,1,528.0,55.0,75.0,202101.0,80598.0,1100.0,2021.0
성북구,2,519.0,36.0,77.0,202102.0,80616.0,1077.0,2021.0
성북구,3,528.0,15.0,75.0,202103.0,82507.0,1121.0,2021.0
성북구,4,553.0,24.0,73.0,202104.0,79024.0,1094.0,2021.0
성북구,5,530.0,23.0,75.0,202105.0,80991.0,1107.0,2021.0
성북구,6,583.0,2.0,75.0,202106.0,83593.0,1144.0,2021.0
성북구,7,583.0,7.0,75.0,202107.0,84175.0,1149.0,2021.0
성북구,8,631.0,7.0,76.0,202108.0,90978.0,1227.0,2021.0
성북구,9,591.0,6.0,77.0,202109.0,94795.0,1263.0,2021.0
성북구,10,438.0,4.0,74.0,202110.0,88532.0,1209.0,2021.0
성북구,11,446.0,10.0,74.0,202111.0,85635.0,1168.0,2021.0
성북구,12,444.0,14.0,66.0,202112.0,75607.0,1143.0,2021.0
송파구,1,202.0,1.0,84.0,202101.0,150991.0,1857.0,2021.0
송파구,2,314.0,1.0,77.0,202102.0,144106.0,1917.0,2021.0
송파구,3,173.0,1.0,82.0,202103.0,149505.0,1902.0,2021.0
송파구,4,281.0,1.0,81.0,202104.0,153927.0,1941.0,2021.0
송파구,5,310.0,2.0,81.0,202105.0,145193.0,1877.0,2021.0
송파구,6,292.0,1.0,78.0,202106.0,150109.0,1980.0,2021.0
송파구,7,289.0,1.0,79.0,202107.0,159365.0,2065.0,2021.0
송파구,8,239.0,2.0,84.0,202108.0,166849.0,2100.0,2021.0
송파구,9,217.0,1.0,81.0,202109.0,171937.0,2208.0,2021.0
송파구,10,237.0,1.0,78.0,202110.0,155202.0,2050.0,2021.0
송파구,11,202.0,1.0,77.0,202111.0,171080.0,2210.0,2021.0
송파구,12,254.0,1.0,74.0,202112.0,136440.0,1854.0,2021.0
양천구,1,778.0,2.0,78.0,202101.0,106159.0,1393.0,2021.0
양천구,2,753.0,2.0,79.0,202102.0,112119.0,1433.0,2021.0
양천구,3,771.0,2.0,74.0,202103.0,99640.0,1351.0,2021.0
양천구,4,762.0,1.0,79.0,202104.0,124987.0,1610.0,2021.0
양천구,5,882.0,4.0,72.0,202105.0,81225.0,1139.0,2021.0
양천구,6,948.0,2.0,74.0,202106.0,97985.0,1318.0,2021.0
양천구,7,933.0,1.0,78.0,202107.0,96997.0,1240.0,2021.0
양천구,8,871.0,2.0,76.0,202108.0,103022.0,1360.0,2021.0
양천구,9,851.0,3.0,77.0,202109.0,102547.0,1303.0,2021.0
양천구,10,808.0,4.0,76.0,202110.0,99695.0,1343.0,2021.0
양천구,11,784.0,6.0,74.0,202111.0,94098.0,1226.0,2021.0
양천구,12,770.0,2.0,84.0,202112.0,118075.0,1422.0,2021.0
영등포구,1,775.0,3.0,79.0,202101.0,109113.0,1357.0,2021.0
영등포구,2,715.0,9.0,75.0,202102.0,108081.0,1382.0,2021.0
영등포구,3,673.0,4.0,76.0,202103.0,109551.0,1413.0,2021.0
영등포구,4,595.0,5.0,76.0,202104.0,113955.0,1412.0,2021.0
영등포구,5,1049.0,14.0,67.0,202105.0,92121.0,1316.0,2021.0
영등포구,6,765.0,8.0,70.0,202106.0,96108.0,1336.0,2021.0
영등포구,7,665.0,3.0,74.0,202107.0,106342.0,1421.0,2021.0
영등포구,8,747.0,2.0,72.0,202108.0,104419.0,1430.0,2021.0
영등포구,9,872.0,3.0,64.0,202109.0,97094.0,1418.0,2021.0
영등포구,10,1074.0,7.0,63.0,202110.0,95641.0,1401.0,2021.0
영등포구,11,744.0,14.0,50.0,202111.0,70624.0,1241.0,2021.0
영등포구,12,724.0,13.0,63.0,202112.0,93439.0,1334.0,2021.0
용산구,1,254.0,13.0,97.0,202101.0,164056.0,1738.0,2021.0
용산구,2,280.0,24.0,104.0,202102.0,193262.0,1788.0,2021.0
용산구,3,338.0,24.0,109.0,202103.0,202678.0,1859.0,2021.0
용산구,4,311.0,29.0,114.0,202104.0,206119.0,1799.0,2021.0
용산구,5,353.0,37.0,115.0,202105.0,220893.0,1902.0,2021.0
용산구,6,259.0,29.0,96.0,202106.0,174174.0,1859.0,2021.0
용산구,7,261.0,18.0,100.0,202107.0,189905.0,1955.0,2021.0
용산구,8,202.0,22.0,96.0,202108.0,183091.0,1937.0,2021.0
용산구,9,273.0,30.0,113.0,202109.0,247868.0,2049.0,2021.0
용산구,10,246.0,10.0,92.0,202110.0,201476.0,2175.0,2021.0
용산구,11,321.0,18.0,102.0,202111.0,238500.0,2230.0,2021.0
용산구,12,212.0,13.0,91.0,202112.0,236308.0,2272.0,2021.0
은평구,1,326.0,7.0,75.0,202101.0,75424.0,1029.0,2021.0
은평구,2,284.0,10.0,74.0,202102.0,69125.0,955.0,2021.0
은평구,3,263.0,10.0,71.0,202103.0,66392.0,958.0,2021.0
은평구,4,260.0,8.0,74.0,202104.0,64492.0,901.0,2021.0
은평구,5,313.0,11.0,76.0,202105.0,74716.0,1001.0,2021.0
은평구,6,308.0,11.0,74.0,202106.0,73412.0,1025.0,2021.0
은평구,7,315.0,11.0,75.0,202107.0,79455.0,1101.0,2021.0
은평구,8,298.0,12.0,70.0,202108.0,76605.0,1119.0,2021.0
은평구,9,337.0,16.0,70.0,202109.0,76098.0,1146.0,2021.0
은평구,10,348.0,12.0,71.0,202110.0,75472.0,1125.0,2021.0
은평구,11,309.0,18.0,66.0,202111.0,69462.0,1093.0,2021.0
은평구,12,328.0,8.0,65.0,202112.0,71924.0,1174.0,2021.0
종로구,1,262.0,21.0,86.0,202101.0,96454.0,1142.0,2021.0
종로구,2,237.0,21.0,76.0,202102.0,95255.0,1269.0,2021.0
종로구,3,252.0,3.0,82.0,202103.0,91198.0,1112.0,2021.0
종로구,4,200.0,22.0,94.0,202104.0,116042.0,1221.0,2021.0
종로구,5,275.0,24.0,80.0,202105.0,97526.0,1210.0,2021.0
종로구,6,365.0,5.0,71.0,202106.0,81827.0,1139.0,2021.0
종로구,7,276.0,4.0,82.0,202107.0,106987.0,1295.0,2021.0
종로구,8,179.0,4.0,80.0,202108.0,113141.0,1323.0,2021.0
종로구,9,265.0,6.0,55.0,202109.0,69164.0,1272.0,2021.0
종로구,10,261.0,3.0,52.0,202110.0,75536.0,1383.0,2021.0
종로구,11,270.0,11.0,51.0,202111.0,61904.0,1189.0,2021.0
종로구,12,223.0,3.0,61.0,202112.0,82650.0,1390.0,2021.0
중구,1,912.0,59.0,85.0,202101.0,105177.0,1245.0,2021.0
중구,2,521.0,47.0,46.0,202102.0,60418.0,1287.0,2021.0
중구,3,559.0,86.0,79.0,202103.0,92841.0,1187.0,2021.0
중구,4,677.0,108.0,76.0,202104.0,95417.0,1222.0,2021.0
중구,5,707.0,72.0,67.0,202105.0,84909.0,1280.0,2021.0
중구,6,1048.0,111.0,70.0,202106.0,88793.0,1244.0,2021.0
중구,7,770.0,18.0,76.0,202107.0,107279.0,1437.0,2021.0
중구,8,764.0,137.0,75.0,202108.0,100577.0,1293.0,2021.0
중구,9,879.0,132.0,68.0,202109.0,93432.0,1341.0,2021.0
중구,10,552.0,99.0,83.0,202110.0,115670.0,1377.0,2021.0
중구,11,644.0,32.0,58.0,202111.0,76774.0,1228.0,2021.0
중구,12,795.0,111.0,61.0,202112.0,84206.0,1364.0,2021.0
중랑구,1,554.0,3.0,65.0,202101.0,58632.0,903.0,2021.0
중랑구,2,579.0,3.0,67.0,202102.0,60047.0,897.0,2021.0
중랑구,3,598.0,3.0,68.0,202103.0,63370.0,945.0,2021.0
중랑구,4,552.0,6.0,66.0,202104.0,60869.0,934.0,2021.0
중랑구,5,563.0,4.0,71.0,202105.0,66723.0,957.0,2021.0
중랑구,6,587.0,3.0,69.0,202106.0,65151.0,962.0,2021.0
중랑구,7,600.0,3.0,64.0,202107.0,63009.0,1009.0,2021.0
중랑구,8,626.0,1.0,70.0,202108.0,71664.0,1038.0,2021.0
중랑구,9,599.0,4.0,69.0,202109.0,68573.0,1023.0,2021.0
중랑구,10,575.0,2.0,68.0,202110.0,69959.0,1032.0,2021.0
중랑구,11,585.0,3.0,66.0,202111.0,68646.0,1064.0,2021.0
중랑구,12,488.0,5.0,66.0,202112.0,63195.0,979.0,2021.0
