,자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
433,강남구,2020,12,131.83,267000,2025
434,강남구,2020,12,165.08,298000,1805
435,강남구,2020,12,84.81,213000,2511
436,강남구,2020,12,165.08,300000,1817
437,강남구,2020,11,163.85,300000,1830
438,강남구,2020,12,131.83,157000,1190
439,강남구,2020,12,131.83,157000,1190
440,강남구,2020,6,129.1841,140000,1083
441,강남구,2020,7,129.1841,145000,1122
442,강남구,2020,10,84.9876,117500,1382
443,강남구,2020,11,84.9876,130000,1529
444,강남구,2020,4,42.395,40000,943
445,강남구,2020,6,39.035,38000,973
446,강남구,2020,6,39.035,42000,1075
447,강남구,2020,6,39.035,40500,1037
448,강남구,2020,10,39.035,42000,1075
449,강남구,2020,8,84.89,130000,1531
450,강남구,2020,4,84.9954,116000,1364
451,강남구,2020,7,115.9483,139000,1198
452,강남구,2020,12,115.7511,153000,1321
453,강남구,2020,3,134.28,118000,878
454,강남구,2020,12,67.671,120000,1773
455,강남구,2020,12,240.03,445000,1853
456,강남구,2020,10,111.08,110000,990
457,강남구,2020,10,47.46,100000,2107
458,강남구,2020,10,84.89,195998,2308
459,강남구,2020,11,59.75,106584,1783
460,강남구,2020,11,59.75,115000,1924
461,강남구,2020,12,47.46,133000,2802
462,강남구,2020,12,59.75,158000,2644
463,강남구,2020,2,90.38,96800,1071
464,강남구,2020,8,81.98,111300,1357
465,강남구,2020,1,120.21,150000,1247
466,강남구,2020,6,84.95,119000,1400
467,강남구,2020,12,84.95,132500,1559
468,강남구,2020,7,98.81,85000,860
469,강남구,2020,6,84.9875,148200,1743
470,강남구,2020,7,84.9875,156000,1835
471,강남구,2020,7,84.9875,158000,1859
472,강남구,2020,7,114.498,187000,1633
473,강남구,2020,5,180.07,295000,1638
474,강남구,2020,7,157.41,270000,1715
475,강남구,2020,10,160.33,260000,1621
476,강남구,2020,12,160.33,272000,1696
477,강남구,2020,2,84.92,165000,1943
478,강남구,2020,5,84.92,163000,1919
479,강남구,2020,6,119.67,186000,1554
480,강남구,2020,6,84.92,168000,1978
481,강남구,2020,6,84.92,168500,1984
482,강남구,2020,7,84.92,172000,2025
483,강남구,2020,7,84.92,177000,2084
484,강남구,2020,8,84.92,172000,2025
485,강남구,2020,8,84.92,171000,2013
486,강남구,2020,11,84.92,165000,1943
487,강남구,2020,3,84.993,150000,1764
488,강남구,2020,3,84.993,150000,1764
489,강남구,2020,6,84.993,164000,1929
490,강남구,2020,6,84.993,159500,1876
491,강남구,2020,6,84.993,164000,1929
492,강남구,2020,7,84.993,154500,1817
493,강남구,2020,8,84.993,163000,1917
494,강남구,2020,1,83.464,137000,1641
495,강남구,2020,12,84.721,164000,1935
496,강남구,2020,12,84.84,94000,1107
497,강남구,2020,6,105.99,105500,995
498,강남구,2020,7,105.99,109000,1028
499,강남구,2020,3,36.29,39000,1074
500,강남구,2020,3,36.29,37750,1040
501,강남구,2020,5,36.29,36400,1003
502,강남구,2020,5,36.29,36500,1005
503,강남구,2020,6,36.29,38900,1071
504,강남구,2020,6,36.29,38400,1058
505,강남구,2020,7,36.29,39500,1088
506,강남구,2020,7,36.29,39000,1074
507,강남구,2020,7,36.29,35000,964
508,강남구,2020,8,36.29,40000,1102
509,강남구,2020,9,36.29,35000,964
510,강남구,2020,10,36.29,36500,1005
511,강남구,2020,10,36.29,35800,986
512,강남구,2020,11,36.29,36000,992
513,강남구,2020,11,36.29,36000,992
514,강남구,2020,12,36.29,36000,992
515,강남구,2020,12,36.29,36000,992
516,강남구,2020,12,36.29,35000,964
517,강남구,2020,12,36.29,35000,964
518,강남구,2020,12,36.29,35000,964
519,강남구,2020,12,36.29,35000,964
520,강남구,2020,12,36.29,35000,964
