,NODE_ID,NODE_NM,NODE_TP,CENTER_YN,ADMIN_NM,REMARK,NODE_CL,NODE_SUB_TP,NODE_ENM,위도,경도,CITY_CD,DISTRICT_ID,COLLECTD_TIME,ORG_ID,ADMIN_ID,OFFSET,DIRECTION,DOWNTOWN_YN,NODE_MOBILE_ID,CITY_CODE,도시명,gu
138,SEB113000422,홍대입구역,,,,,,,,37.556401,126.9232979,,,2020-09-24 07:32:12,,,,,,14015.0,11,서울특별시,마포구
139,SEB106000068,봉우재고개,,,,,,,,37.595025,127.097837,,,2020-09-24 07:32:12,,,,,,7162.0,11,서울특별시,중랑구
140,SEB106000089,방약국앞,,,,,,,,37.5757745,127.0858494,,,2020-09-24 07:32:12,,,,,,7183.0,11,서울특별시,중랑구
141,SEB106000087,면남초등학교,,,,,,,,37.5786342,127.0863248,,,2020-09-24 07:32:12,,,,,,7181.0,11,서울특별시,중랑구
142,SEB106000084,지하철7호선사가정역,,,,,,,,37.5799818,127.0882251,,,2020-09-24 07:32:12,,,,,,7178.0,11,서울특별시,중랑구
143,SEB105000018,신설동역,,,,,,,,37.5764535,127.0255836,,,2020-09-24 07:32:12,,,,,,6101.0,11,서울특별시,동대문구
144,SEB112000036,이대부중,,,,,,,,37.563644,126.944163,,,2020-09-24 07:32:12,,,,,,13119.0,11,서울특별시,서대문구
145,SEB112000173,연가교,,,,,,,,37.57252,126.921793,,,2020-09-24 07:32:12,,,,,,13256.0,11,서울특별시,서대문구
146,SEB112000177,서대문종합사회복지관,,,,,,,,37.5712597,126.9200245,,,2020-09-24 07:32:12,,,,,,13260.0,11,서울특별시,서대문구
147,SEB112000016,이대후문,,,,,,,,37.5626001,126.9433012,,,2020-09-24 07:32:12,,,,,,13016.0,11,서울특별시,서대문구
148,SEB112000037,이대부고,,,,,,,,37.5648262,126.9459959,,,2020-09-24 07:32:12,,,,,,13120.0,11,서울특별시,서대문구
149,SEB107000222,돈암초교입구,,,,,,,,37.5910822,127.0122536,,,2020-09-24 07:32:12,,,,,,8318.0,11,서울특별시,성북구
150,SEB113000142,홍익대학교,,,,,,,,37.5530705,126.9246414,,,2020-09-24 07:32:12,,,,,,14233.0,11,서울특별시,마포구
151,SEB106000167,쌍용아파트신내테크노타운앞,,,,,,,,37.6031155,127.0880531,,,2020-09-24 07:32:12,,,,,,7262.0,11,서울특별시,중랑구
152,SEB106000175,동성프라자앞,,,,,,,,37.6077071,127.0976236,,,2020-09-24 07:32:12,,,,,,7270.0,11,서울특별시,중랑구
153,SEB123000253,가락동미륭아파트,,,,,,,,37.4926622,127.1282354,,,2020-09-24 07:32:12,,,,,,24344.0,11,서울특별시,송파구
154,SEB123000289,제일오피스텔,,,,,,,,37.4932063,127.1198178,,,2020-09-24 07:32:12,,,,,,24380.0,11,서울특별시,송파구
155,SEB123000055,잠실종합운동장,,,,,,,,37.5111175,127.0720732,,,2020-09-24 07:32:12,,,,,,24144.0,11,서울특별시,송파구
156,SEB122000076,강남구청역,,,,,,,,37.5183006,127.0410138,,,2020-09-24 07:32:12,,,,,,23178.0,11,서울특별시,강남구
157,SEB122000325,영동고교앞,,,,,,,,37.5215035,127.0398932,,,2020-09-24 07:32:12,,,,,,23432.0,11,서울특별시,강남구
158,SEB100000179,이화동(이화장),,,,,,,,37.576257,127.002955,,,2020-09-24 07:32:12,,,,,,1277.0,11,서울특별시,종로구
159,SEB122000084,청담역.경기고교,,,,,,,,37.519754,127.0565441,,,2020-09-24 07:32:12,,,,,,23187.0,11,서울특별시,강남구
160,SEB123000065,잠실종합운동장,,,,,,,,37.5104187,127.0728158,,,2020-09-24 07:32:12,,,,,,24154.0,11,서울특별시,송파구
161,SEB123000010,가락시장.가락시장역,,,,,,,,37.4947387,127.1164919,,,2020-09-24 07:32:12,,,,,,24010.0,11,서울특별시,송파구
162,SEB123000234,문정동대우아파트,,,,,,,,37.486845,127.126833,,,2020-09-24 07:32:12,,,,,,24324.0,11,서울특별시,송파구
163,SEB123000226,한림연예예술고교,,,,,,,,37.485403,127.131745,,,2020-09-24 07:32:12,,,,,,24316.0,11,서울특별시,송파구
164,SEB123000370,송파파인타운2단지.구립송파복지센터,,,,,,,,37.485133,127.132647,,,2020-09-24 07:32:12,,,,,,24462.0,11,서울특별시,송파구
165,SEB205000133,스타타워.동방렌탈,,,,,,,,37.4344596,127.1763754,,,2020-09-24 07:32:12,,,,,,49059.0,11,서울특별시,성남시 중원구
166,SEB205000155,성남자이아파트,,,,,,,,37.4322479,127.1572809,,,2020-09-24 07:32:12,,,,,,49079.0,11,서울특별시,성남시 중원구
167,SEB205000152,영성중학교.하대원동행정복지센,,,,,,,,37.4285508,127.1453565,,,2020-09-24 07:32:12,,,,,,49085.0,11,서울특별시,성남시 중원구
168,SEB205000082,성남종합운동장.성남동행정복지,,,,,,,,37.4344471,127.1379392,,,2020-09-24 07:32:12,,,,,,49006.0,11,서울특별시,성남시 중원구
169,SEB204000019,성남수정경찰서,,,,,,,,37.4417956,127.1276944,,,2020-09-24 07:32:12,,,,,,48021.0,11,서울특별시,성남시 수정구
170,SEB123000013,문정법조단지.건영아파트,,,,,,,,37.482125,127.124748,,,2020-09-24 07:32:12,,,,,,24013.0,11,서울특별시,송파구
171,SEB123000001,잠실역.잠실대교.남단,,,,,,,,37.5155364,127.0984435,,,2020-09-24 07:32:12,,,,,,24001.0,11,서울특별시,송파구
172,SEB103000167,성수2가3동주민센터,,,,,,,,37.5501678,127.0546962,,,2020-09-24 07:32:12,,,,,,4269.0,11,서울특별시,성동구
173,SEB103000030,한양대정문,,,,,,,,37.5563883,127.0431286,,,2020-09-24 07:32:12,,,,,,4129.0,11,서울특별시,성동구
174,SEB123000016,장지역.가든파이브,,,,,,,,37.479907,127.125472,,,2020-09-24 07:32:12,,,,,,24016.0,11,서울특별시,송파구
175,SEB204000085,중앙시장.농협,,,,,,,,37.4414632,127.1342981,,,2020-09-24 07:32:12,,,,,,48032.0,11,서울특별시,성남시 수정구
176,SEB205000014,아튼빌아파트.중원청소년수련관,,,,,,,,37.4298619,127.1523232,,,2020-09-24 07:32:12,,,,,,49083.0,11,서울특별시,성남시 중원구
177,SEB205000060,스타타워.동방렌탈,,,,,,,,37.4343039,127.1763357,,,2020-09-24 07:32:12,,,,,,49060.0,11,서울특별시,성남시 중원구
178,SEB205000127,상대원시장,,,,,,,,37.4356888,127.1582711,,,2020-09-24 07:32:12,,,,,,49073.0,11,서울특별시,성남시 중원구
179,SEB104000061,구의사거리,,,,,,,,37.5458173,127.086348,,,2020-09-24 07:32:12,,,,,,5154.0,11,서울특별시,광진구
180,SEB105000021,용두로타리한국의류시험연구원,,,,,,,,37.5772564,127.029482,,,2020-09-24 07:32:12,,,,,,6104.0,11,서울특별시,동대문구
181,SEB124000429,강일리버파크6단지,,,,,,,,37.5640279,127.1754266,,,2020-09-24 07:32:12,,,,,,25317.0,11,서울특별시,강동구
182,SEB124000003,고덕리엔파크1단지,,,,,,,,37.5611595,127.1704714,,,2020-09-24 07:32:12,,,,,,25103.0,11,서울특별시,강동구
183,SEB124000041,배재중고등학교,,,,,,,,37.5547887,127.1494506,,,2020-09-24 07:32:12,,,,,,25141.0,11,서울특별시,강동구
184,SEB124000055,암사역선사현대아파트,,,,,,,,37.5508414,127.1276333,,,2020-09-24 07:32:12,,,,,,25155.0,11,서울특별시,강동구
185,SEB123000078,삼전역,,,,,,,,37.5039542,127.0897903,,,2020-09-24 07:32:12,,,,,,24167.0,11,서울특별시,송파구
186,SEB121000262,강남역,,,,,,,,37.4975009,127.0268505,,,2020-09-24 07:32:12,,,,,,22339.0,11,서울특별시,서초구
