,정류소ID,ARS-ID,정류소명,X좌표,Y좌표,gu
123,100000139,1235,동묘역앞,127.0156014,37.57168496,종로구
124,100000140,1236,동묘역앞,127.015945,37.57192215,종로구
125,101000307,1237,청계2가교차로,126.9878779,37.5684809,종로구
126,100000142,1238,창신3동주민센터,127.015178,37.578413,종로구
127,100000143,1239,숭인1동주민센터.창신역4번출구,127.0155486,37.57877205,종로구
128,100000144,1240,동묘역.롯데캐슬천지인,127.0158024,37.57418005,종로구
129,100000147,1243,신설동로터리,127.0227802,37.57592883,종로구
130,100000364,1245,동묘앞,127.0178163,37.57372922,종로구
131,100000150,1246,구기동현대빌라,126.956622,37.609682,종로구
132,100000151,1247,광장시장,126.9977438,37.56949631,종로구
133,100000153,1249,혜화경찰서,126.9974788,37.57258074,종로구
134,100000154,1250,서울역사박물관.김구집무실(경교장),126.9721318,37.56990034,종로구
135,100000155,1251,청계3가.관수교,126.9937794,37.56868879,종로구
136,100000156,1252,청계6가.버들다리,127.0080377,37.56993039,종로구
137,100000157,1253,청계7가.맑은내다리,127.0129554,37.56999753,종로구
138,100000158,1254,청계8가.영도교,127.0182311,37.57094659,종로구
139,100000159,1256,원남동사거리,126.9982147,37.57572287,종로구
140,100000165,1262,숭인동,127.0204373,37.57427215,종로구
141,100000169,1267,조계사,126.9831609,37.57280034,종로구
142,100000174,1272,세종문화회관,126.9768673,37.57394965,종로구
143,100000179,1277,이화동(이화장),127.002955,37.576257,종로구
144,100000180,1278,상명대정문,126.9550207,37.60161972,종로구
145,100000181,1279,이북오도청,126.9558883,37.61305032,종로구
146,100000188,1286,상명대입구.세검정교회,126.9597922,37.59944351,종로구
147,100000189,1287,상명대입구.석파랑,126.9581941,37.59957181,종로구
148,100000190,1288,종로중부새마을금고,127.0065911,37.57241749,종로구
149,100000191,1289,신설동로터리.신한은행앞.서울풍물시장,127.0231183,37.5743861,종로구
150,100000192,1291,청계2가.삼일교,126.9872214,37.56844587,종로구
151,100000193,1292,청계8가.황학교,127.022787,37.57213073,종로구
152,100000355,1293,평창동삼성아파트,126.978368,37.610967,종로구
153,100000370,1294,안국역.종로경찰서.인사동,126.9855365,37.57633293,종로구
