,자치구별,전용면적(㎡),계약년월,거래금액(만원),1m^2 전용면적당 거래금액(만원),계약연도,계약월
280,강남구,60.0,202010,157000,2616,2020,10
281,강남구,51.12,202011,136000,2660,2020,11
282,강남구,51.12,202011,136000,2660,2020,11
283,강남구,39.53,202012,119000,3010,2020,12
284,강남구,39.53,202012,118500,2997,2020,12
285,강남구,39.53,202012,120000,3035,2020,12
286,강남구,39.53,202012,123000,3111,2020,12
287,강남구,161.07,202002,215000,1334,2020,2
288,강남구,73.5,202007,64000,870,2020,7
289,강남구,57.93,202009,53000,914,2020,9
290,강남구,49.86,202001,124500,2496,2020,1
291,강남구,39.53,202001,103000,2605,2020,1
292,강남구,39.53,202001,111000,2807,2020,1
293,강남구,39.53,202001,107000,2706,2020,1
294,강남구,33.18,202002,94000,2833,2020,2
295,강남구,33.18,202002,96500,2908,2020,2
296,강남구,49.86,202002,123500,2476,2020,2
297,강남구,49.86,202002,125000,2507,2020,2
298,강남구,49.86,202003,124000,2486,2020,3
299,강남구,49.86,202003,123500,2476,2020,3
300,강남구,33.18,202003,91000,2742,2020,3
301,강남구,39.53,202003,102250,2586,2020,3
302,강남구,33.18,202003,85000,2561,2020,3
303,강남구,39.53,202004,101500,2567,2020,4
304,강남구,33.18,202004,85000,2561,2020,4
305,강남구,33.18,202004,85000,2561,2020,4
306,강남구,39.53,202005,102000,2580,2020,5
307,강남구,49.86,202005,119500,2396,2020,5
308,강남구,33.18,202005,88100,2655,2020,5
309,강남구,33.18,202005,87000,2622,2020,5
310,강남구,49.86,202005,119000,2386,2020,5
311,강남구,39.53,202005,102000,2580,2020,5
312,강남구,33.18,202005,89000,2682,2020,5
313,강남구,49.86,202005,118000,2366,2020,5
314,강남구,49.86,202005,115000,2306,2020,5
315,강남구,33.18,202005,89500,2697,2020,5
316,강남구,49.86,202005,117500,2356,2020,5
317,강남구,49.86,202005,120000,2406,2020,5
318,강남구,39.53,202006,101000,2555,2020,6
319,강남구,33.18,202006,89000,2682,2020,6
320,강남구,33.18,202006,95000,2863,2020,6
321,강남구,33.18,202006,87500,2637,2020,6
322,강남구,33.18,202006,89800,2706,2020,6
323,강남구,39.53,202006,100000,2529,2020,6
324,강남구,39.53,202006,100000,2529,2020,6
325,강남구,39.53,202006,110000,2782,2020,6
326,강남구,39.53,202006,110000,2782,2020,6
327,강남구,49.86,202006,130000,2607,2020,6
328,강남구,49.86,202006,133000,2667,2020,6
329,강남구,49.86,202006,135000,2707,2020,6
330,강남구,49.86,202006,127000,2547,2020,6
331,강남구,39.53,202007,118000,2985,2020,7
332,강남구,39.53,202007,118000,2985,2020,7
333,강남구,39.53,202007,121000,3060,2020,7
334,강남구,33.18,202007,100000,3013,2020,7
335,강남구,33.18,202007,99000,2983,2020,7
336,강남구,33.18,202007,100000,3013,2020,7
337,강남구,33.18,202007,102400,3086,2020,7
338,강남구,39.53,202007,115000,2909,2020,7
339,강남구,39.53,202007,112000,2833,2020,7
340,강남구,39.53,202007,115000,2909,2020,7
341,강남구,49.86,202007,136000,2727,2020,7
342,강남구,33.18,202007,98500,2968,2020,7
343,강남구,49.86,202008,134000,2687,2020,8
344,강남구,49.86,202008,133000,2667,2020,8
345,강남구,33.18,202008,91000,2742,2020,8
346,강남구,33.18,202008,100000,3013,2020,8
347,강남구,33.18,202008,99800,3007,2020,8
348,강남구,49.86,202008,140000,2807,2020,8
349,강남구,39.53,202008,120000,3035,2020,8
350,강남구,39.53,202009,119000,3010,2020,9
351,강남구,39.53,202009,120000,3035,2020,9
352,강남구,49.86,202009,136000,2727,2020,9
353,강남구,33.18,202009,96000,2893,2020,9
354,강남구,49.86,202009,136000,2727,2020,9
355,강남구,33.18,202009,90000,2712,2020,9
356,강남구,39.53,202009,118500,2997,2020,9
