,자치구별,계약연도,계약월,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
284,강남구,2019,10,73.02,189000,2588
285,강남구,2019,11,83.21,205000,2463
286,강남구,2019,11,53.06,160000,3015
287,강남구,2019,11,73.02,189000,2588
288,강남구,2019,11,53.06,163000,3071
289,강남구,2019,11,83.21,165000,1982
290,강남구,2019,12,83.21,220000,2643
291,강남구,2019,12,60.13,169000,2810
292,강남구,2019,1,60.76,132000,2172
293,강남구,2019,2,60.76,130500,2147
294,강남구,2019,2,53.46,114000,2132
295,강남구,2019,3,83.7,165000,1971
296,강남구,2019,3,53.46,124000,2319
297,강남구,2019,4,60.76,139000,2287
298,강남구,2019,4,83.7,174000,2078
299,강남구,2019,5,83.7,170000,2031
300,강남구,2019,5,60.76,142000,2337
301,강남구,2019,5,60.76,143000,2353
302,강남구,2019,5,60.76,150500,2476
303,강남구,2019,5,53.46,139000,2600
304,강남구,2019,6,83.7,184000,2198
305,강남구,2019,6,60.76,150000,2468
306,강남구,2019,6,60.76,148000,2435
307,강남구,2019,6,53.46,140000,2618
308,강남구,2019,6,73.26,172000,2347
309,강남구,2019,6,73.26,172000,2347
310,강남구,2019,6,60.76,161500,2657
311,강남구,2019,6,60.76,160000,2633
312,강남구,2019,6,73.26,176000,2402
313,강남구,2019,6,53.46,130000,2431
314,강남구,2019,7,83.7,185000,2210
315,강남구,2019,7,53.46,152000,2843
316,강남구,2019,8,60.76,158000,2600
317,강남구,2019,8,83.7,189000,2258
318,강남구,2019,8,53.46,147500,2759
319,강남구,2019,8,53.46,148000,2768
320,강남구,2019,9,83.7,190000,2270
321,강남구,2019,9,60.76,161500,2657
322,강남구,2019,9,53.46,150000,2805
323,강남구,2019,9,73.26,180000,2457
324,강남구,2019,9,60.76,162000,2666
325,강남구,2019,9,60.76,165000,2715
326,강남구,2019,10,83.7,200000,2389
327,강남구,2019,11,60.76,170000,2797
328,강남구,2019,11,53.46,165500,3095
329,강남구,2019,11,53.46,170000,3179
330,강남구,2019,11,53.46,170000,3179
331,강남구,2019,7,82.2,149000,1812
332,강남구,2019,10,82.2,160000,1946
333,강남구,2019,1,132.63,102000,769
334,강남구,2019,3,96.98,161000,1660
335,강남구,2019,4,96.98,160000,1649
336,강남구,2019,4,123.28,193000,1565
337,강남구,2019,5,96.98,165000,1701
338,강남구,2019,6,123.28,209000,1695
339,강남구,2019,6,123.28,208000,1687
340,강남구,2019,6,123.28,210000,1703
341,강남구,2019,6,96.98,163000,1680
342,강남구,2019,6,123.28,230000,1865
343,강남구,2019,7,96.98,165000,1701
344,강남구,2019,7,123.28,220000,1784
345,강남구,2019,7,166.48,246000,1477
346,강남구,2019,8,123.28,220000,1784
347,강남구,2019,10,96.98,203000,2093
348,강남구,2019,12,166.48,288000,1729
349,강남구,2019,1,182.2,229500,1259
350,강남구,2019,5,182.2,240000,1317
351,강남구,2019,6,182.2,246000,1350
352,강남구,2019,6,149.21,210000,1407
353,강남구,2019,9,182.2,257000,1410
354,강남구,2019,9,149.21,222000,1487
355,강남구,2019,11,182.2,282500,1550
356,강남구,2019,12,182.2,260000,1427
357,강남구,2019,10,69.86,60700,868
358,강남구,2019,9,59.75,165000,2761
359,강남구,2019,9,84.36,240000,2844
360,강남구,2019,9,84.36,235000,2785
361,강남구,2019,10,84.36,259000,3070
362,강남구,2019,10,76.17,234000,3072
363,강남구,2019,11,84.36,253000,2999
364,강남구,2019,3,113.96,245000,2149
365,강남구,2019,3,99.991,230000,2300
366,강남구,2019,4,49.909,126000,2524
367,강남구,2019,5,99.919,231700,2318
368,강남구,2019,5,84.94,204000,2401
369,강남구,2019,5,59.888,134000,2237
370,강남구,2019,5,84.943,185000,2177
371,강남구,2019,6,59.967,160000,2668
372,강남구,2019,6,126.928,252000,1985
373,강남구,2019,6,84.94,208000,2448
374,강남구,2019,6,84.95,197000,2319
375,강남구,2019,6,84.943,185000,2177
376,강남구,2019,6,84.943,205000,2413
377,강남구,2019,6,84.95,200000,2354
378,강남구,2019,6,59.888,158000,2638
379,강남구,2019,6,59.888,165000,2755
380,강남구,2019,6,59.888,149000,2487
381,강남구,2019,6,59.888,140000,2337
382,강남구,2019,6,84.95,197000,2319
383,강남구,2019,6,84.943,220000,2589
384,강남구,2019,7,59.967,182000,3035
385,강남구,2019,7,84.94,230000,2707
386,강남구,2019,7,99.979,262000,2620
387,강남구,2019,7,59.967,179500,2993
388,강남구,2019,7,99.919,255000,2552
389,강남구,2019,7,59.837,184000,3075
390,강남구,2019,7,59.888,140000,2337
391,강남구,2019,7,99.991,270000,2700
392,강남구,2019,8,84.943,235000,2766
393,강남구,2019,8,84.95,230000,2707
394,강남구,2019,8,99.991,280000,2800
395,강남구,2019,8,59.897,185000,3088
396,강남구,2019,8,84.943,235000,2766
397,강남구,2019,8,49.909,147000,2945
398,강남구,2019,8,84.95,254000,2989
399,강남구,2019,8,99.919,282000,2822
400,강남구,2019,8,49.909,123000,2464
401,강남구,2019,9,113.96,300000,2632
402,강남구,2019,9,49.909,148000,2965
403,강남구,2019,9,113.96,255000,2237
404,강남구,2019,9,84.95,232000,2731
405,강남구,2019,9,126.971,338000,2662
406,강남구,2019,10,84.94,235000,2766
407,강남구,2019,10,99.979,285000,2850
408,강남구,2019,10,84.943,240000,2825
409,강남구,2019,10,113.732,307000,2699
410,강남구,2019,10,49.909,148000,2965
411,강남구,2019,10,59.967,190000,3168
412,강남구,2019,10,99.979,270000,2700
413,강남구,2019,10,84.943,237000,2790
414,강남구,2019,10,84.943,237000,2790
415,강남구,2019,10,99.919,291000,2912
416,강남구,2019,10,84.943,252000,2966
417,강남구,2019,10,84.943,259000,3049
418,강남구,2019,10,84.95,244000,2872
419,강남구,2019,11,49.909,146000,2925
420,강남구,2019,11,59.967,195000,3251
421,강남구,2019,11,84.94,243000,2860
422,강남구,2019,11,59.837,190000,3175
423,강남구,2019,11,59.897,189000,3155
424,강남구,2019,11,49.909,145000,2905
425,강남구,2019,11,99.991,300000,3000
