,정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명,gu
11746,SEB210000079,당아래지하차도,,,,37.5046637,126.7938564,2021/09/16 07:31:03,46021.0,11,서울특별시,부천시
11747,SEB112000064,연희동대우아파트,,,,37.5626233,126.9279552,2021/09/16 07:31:03,13147.0,11,서울특별시,서대문구
11748,SEB115000137,탑산초등학교.허준박물관,,,,37.5666981,126.8517605,2021/09/16 07:31:03,16234.0,11,서울특별시,강서구
11749,SEB111000128,구산중학교.구산교회,,,,37.6088023,126.9108335,2021/09/16 07:31:03,12216.0,11,서울특별시,은평구
11750,SEB107900152,한성대삼거리,,,,37.5858614,127.0109053,2021/09/16 07:31:03,8789.0,11,서울특별시,성북구
11751,SEB111000161,구기터널입구,,,,37.6103568,126.9448439,2021/09/16 07:31:03,12251.0,11,서울특별시,은평구
11752,SEB104900012,광장중학교앞,,,,37.5469479,127.1024888,2021/09/16 07:31:03,5597.0,11,서울특별시,광진구
11753,SEB110000021,서울과학기술대앞,,,,37.6302682,127.0760165,2021/09/16 07:31:03,11121.0,11,서울특별시,노원구
11754,SEB111000101,은평경찰서,,,,37.6276323,126.9294752,2021/09/16 07:31:03,12189.0,11,서울특별시,은평구
11755,SEB107900171,대우APT정문.대림APT후문앞,,,,37.6122913,127.0176895,2021/09/16 07:31:03,8819.0,11,서울특별시,성북구
11756,SEB113900016,다운교회,,,,37.5455958,126.9126608,2021/09/16 07:31:03,14510.0,11,서울특별시,마포구
11757,SEB113000020,서부면허시험장,,,,37.5774012,126.8802386,2021/09/16 07:31:03,14110.0,11,서울특별시,마포구
11758,SEB116000012,경인중학교.개봉사거리,,,,37.497171,126.8551315,2021/09/16 07:31:03,17012.0,11,서울특별시,구로구
11759,SEB110000675,불암산종합스타디움,,,,37.6389304,127.0825453,2021/09/16 07:31:03,11509.0,11,서울특별시,노원구
11760,SEB107000034,길음역,,,,37.6020133,127.0237044,2021/09/16 07:31:03,8124.0,11,서울특별시,성북구
11761,SEB107900149,길음전철역,,,,37.60424,127.024158,2021/09/16 07:31:03,8783.0,11,서울특별시,성북구
11762,SEB235000359,샘골,,,,37.7048942,126.970624,2021/09/16 07:31:03,68207.0,11,서울특별시,양주시
11763,SEB112900034,고은초교삼거리,,,,37.5842616,126.9436845,2021/09/16 07:31:03,13808.0,11,서울특별시,서대문구
11764,SEB235000834,송추반석전원교회,,,,37.7385342,126.9772145,2021/09/16 07:31:03,68224.0,11,서울특별시,양주시
11765,SEB116000632,항동하버라인10단지,,,,37.4797915,126.8258522,2021/09/16 07:31:03,17712.0,11,서울특별시,구로구
11766,SEB108900201,하나은행.새마을금고,,,,37.6285541,127.0396898,2021/09/16 07:31:03,9899.0,11,서울특별시,강북구
11767,SEB118000129,양평한신아파트.선유도공원입구,,,,37.5416485,126.8944278,2021/09/16 07:31:03,19214.0,11,서울특별시,영등포구
11768,SEB109000207,거성학마을아파트,,,,37.6661972,127.0381716,2021/09/16 07:31:03,10295.0,11,서울특별시,도봉구
