,계약연월,자치구별,CoffeeShop
491,2018-8,강서구,748
492,2018-8,강동구,414
493,2018-8,도봉구,228
494,2018-8,금천구,323
495,2018-8,양천구,356
496,2018-8,관악구,479
497,2018-8,노원구,432
498,2018-8,성동구,344
499,2018-8,광진구,374
500,2018-9,구로구,405
501,2018-9,서초구,943
502,2018-9,영등포구,798
503,2018-9,서대문구,492
504,2018-9,강남구,1675
505,2018-9,중구,1072
506,2018-9,송파구,441
507,2018-9,종로구,876
508,2018-9,마포구,941
509,2018-9,성북구,431
510,2018-9,동대문구,395
511,2018-9,용산구,391
512,2018-9,중랑구,246
513,2018-9,강북구,211
514,2018-9,동작구,416
515,2018-9,은평구,387
516,2018-9,강서구,748
517,2018-9,강동구,414
518,2018-9,도봉구,228
519,2018-9,금천구,323
520,2018-9,양천구,356
521,2018-9,관악구,479
522,2018-9,노원구,432
523,2018-9,성동구,344
524,2018-9,광진구,374
525,2018-10,구로구,407
526,2018-10,서초구,953
527,2018-10,영등포구,805
528,2018-10,서대문구,480
529,2018-10,강남구,1686
530,2018-10,중구,1066
531,2018-10,송파구,473
532,2018-10,종로구,866
533,2018-10,마포구,966
534,2018-10,성북구,429
535,2018-10,동대문구,388
536,2018-10,용산구,391
537,2018-10,중랑구,250
538,2018-10,강북구,215
539,2018-10,동작구,415
540,2018-10,은평구,387
541,2018-10,강서구,742
542,2018-10,강동구,419
543,2018-10,도봉구,227
544,2018-10,금천구,314
545,2018-10,양천구,355
546,2018-10,관악구,472
547,2018-10,노원구,429
548,2018-10,성동구,337
549,2018-10,광진구,365
550,2018-11,구로구,409
551,2018-11,서초구,952
552,2018-11,영등포구,804
553,2018-11,서대문구,485
554,2018-11,강남구,1675
555,2018-11,중구,1070
556,2018-11,송파구,450
557,2018-11,종로구,871
558,2018-11,마포구,958
559,2018-11,성북구,433
560,2018-11,동대문구,392
561,2018-11,용산구,394
562,2018-11,중랑구,250
563,2018-11,강북구,216
564,2018-11,동작구,420
565,2018-11,은평구,388
566,2018-11,강서구,747
567,2018-11,강동구,414
568,2018-11,도봉구,227
569,2018-11,금천구,324
570,2018-11,양천구,358
571,2018-11,관악구,477
572,2018-11,노원구,431
573,2018-11,성동구,339
574,2018-11,광진구,370
575,2018-12,구로구,407
576,2018-12,서초구,949
577,2018-12,영등포구,799
578,2018-12,서대문구,492
579,2018-12,강남구,1679
580,2018-12,중구,1072
581,2018-12,송파구,445
582,2018-12,종로구,877
583,2018-12,마포구,943
