자치구별,계약월,계약연도,전용면적(㎡),거래금액(만원),1m^2 전용면적당 거래금액(만원)
마포구,3,2020.0,68.0,34045.0,475.0
마포구,4,2020.0,59.0,30497.0,460.0
마포구,5,2020.0,69.0,37156.0,500.0
마포구,6,2020.0,72.0,43437.0,589.0
마포구,7,2020.0,70.0,42216.0,572.0
마포구,8,2020.0,68.0,39427.0,548.0
마포구,9,2020.0,70.0,38011.0,526.0
마포구,10,2020.0,39.0,20469.0,404.0
마포구,11,2020.0,74.0,46484.0,619.0
마포구,12,2020.0,67.0,39909.0,560.0
서대문구,1,2020.0,71.0,33910.0,467.0
서대문구,2,2020.0,69.0,32170.0,462.0
서대문구,3,2020.0,69.0,32659.0,463.0
서대문구,4,2020.0,70.0,32746.0,466.0
서대문구,5,2020.0,69.0,31099.0,440.0
서대문구,6,2020.0,75.0,37207.0,510.0
서대문구,7,2020.0,69.0,33850.0,485.0
서대문구,8,2020.0,72.0,40136.0,562.0
서대문구,9,2020.0,70.0,37686.0,529.0
서대문구,10,2020.0,70.0,36633.0,527.0
서대문구,11,2020.0,73.0,39582.0,536.0
서대문구,12,2020.0,72.0,39888.0,559.0
서초구,1,2020.0,82.0,52417.0,635.0
서초구,2,2020.0,84.0,55121.0,638.0
서초구,3,2020.0,82.0,56068.0,692.0
서초구,4,2020.0,84.0,58373.0,691.0
서초구,5,2020.0,87.0,66056.0,768.0
서초구,6,2020.0,87.0,67807.0,781.0
서초구,7,2020.0,88.0,73996.0,856.0
서초구,8,2020.0,86.0,68123.0,795.0
서초구,9,2020.0,87.0,71138.0,822.0
서초구,10,2020.0,86.0,73294.0,861.0
서초구,11,2020.0,81.0,61797.0,740.0
서초구,12,2020.0,84.0,69453.0,804.0
성동구,1,2020.0,73.0,41720.0,570.0
성동구,2,2020.0,74.0,45045.0,613.0
성동구,3,2020.0,74.0,43656.0,581.0
성동구,4,2020.0,72.0,41259.0,558.0
성동구,5,2020.0,73.0,43149.0,581.0
성동구,6,2020.0,77.0,50121.0,657.0
성동구,7,2020.0,76.0,50355.0,659.0
성동구,8,2020.0,76.0,46564.0,615.0
성동구,9,2020.0,76.0,46252.0,609.0
성동구,10,2020.0,77.0,51704.0,675.0
성동구,11,2020.0,71.0,47319.0,645.0
성동구,12,2020.0,73.0,50189.0,651.0
성북구,1,2020.0,70.0,30205.0,428.0
성북구,2,2020.0,70.0,30086.0,425.0
성북구,3,2020.0,74.0,32480.0,441.0
성북구,4,2020.0,72.0,30179.0,406.0
성북구,5,2020.0,74.0,32863.0,439.0
성북구,6,2020.0,74.0,32593.0,436.0
성북구,7,2020.0,72.0,35480.0,488.0
성북구,8,2020.0,73.0,36034.0,489.0
성북구,9,2020.0,70.0,34340.0,467.0
성북구,10,2020.0,75.0,37265.0,492.0
성북구,11,2020.0,71.0,36705.0,508.0
성북구,12,2020.0,74.0,38681.0,519.0
송파구,1,2020.0,77.0,46212.0,589.0
송파구,2,2020.0,75.0,44396.0,583.0
송파구,3,2020.0,75.0,45010.0,594.0
송파구,4,2020.0,77.0,48276.0,631.0
송파구,5,2020.0,79.0,51533.0,670.0
송파구,6,2020.0,81.0,54969.0,680.0
송파구,7,2020.0,81.0,54991.0,687.0
송파구,8,2020.0,74.0,44846.0,579.0
송파구,9,2020.0,79.0,53787.0,696.0
송파구,10,2020.0,79.0,53892.0,677.0
송파구,11,2020.0,73.0,50543.0,655.0
송파구,12,2020.0,80.0,57797.0,715.0
양천구,1,2020.0,78.0,41529.0,516.0
양천구,2,2020.0,76.0,40967.0,518.0
양천구,3,2020.0,72.0,36119.0,488.0
양천구,4,2020.0,70.0,33594.0,436.0
양천구,5,2020.0,76.0,41042.0,518.0
양천구,6,2020.0,77.0,42105.0,525.0
양천구,7,2020.0,74.0,40163.0,512.0
양천구,8,2020.0,73.0,40440.0,529.0
양천구,9,2020.0,73.0,40832.0,526.0
양천구,10,2020.0,73.0,43116.0,555.0
양천구,11,2020.0,75.0,45222.0,575.0
양천구,12,2020.0,78.0,48654.0,603.0
영등포구,1,2020.0,74.0,36735.0,493.0
영등포구,2,2020.0,72.0,35768.0,494.0
영등포구,3,2020.0,69.0,32729.0,454.0
영등포구,4,2020.0,69.0,33416.0,482.0
영등포구,5,2020.0,73.0,37240.0,511.0
영등포구,6,2020.0,74.0,38879.0,521.0
영등포구,7,2020.0,74.0,38417.0,521.0
영등포구,8,2020.0,74.0,39079.0,527.0
영등포구,9,2020.0,67.0,32653.0,468.0
영등포구,10,2020.0,70.0,37127.0,523.0
영등포구,11,2020.0,71.0,39696.0,547.0
영등포구,12,2020.0,72.0,39956.0,545.0
용산구,1,2020.0,90.0,47813.0,547.0
용산구,2,2020.0,86.0,45252.0,536.0
용산구,3,2020.0,88.0,46319.0,528.0
용산구,4,2020.0,85.0,46914.0,571.0
용산구,5,2020.0,89.0,45297.0,527.0
용산구,6,2020.0,88.0,50104.0,576.0
용산구,7,2020.0,88.0,53998.0,614.0
용산구,8,2020.0,89.0,51271.0,588.0
용산구,9,2020.0,88.0,55106.0,623.0
용산구,10,2020.0,85.0,51980.0,598.0
용산구,11,2020.0,80.0,50840.0,600.0
용산구,12,2020.0,90.0,56900.0,642.0
은평구,1,2020.0,64.0,25278.0,432.0
은평구,2,2020.0,70.0,27756.0,408.0
은평구,3,2020.0,67.0,28587.0,438.0
은평구,4,2020.0,67.0,27414.0,409.0
은평구,5,2020.0,70.0,31026.0,461.0
은평구,6,2020.0,71.0,33338.0,483.0
은평구,7,2020.0,67.0,28425.0,425.0
은평구,8,2020.0,69.0,30681.0,450.0
은평구,9,2020.0,68.0,25091.0,363.0
은평구,10,2020.0,69.0,32622.0,487.0
은평구,11,2020.0,69.0,33112.0,485.0
은평구,12,2020.0,69.0,30676.0,448.0
종로구,1,2020.0,72.0,35902.0,476.0
종로구,2,2020.0,65.0,31878.0,461.0
종로구,3,2020.0,66.0,30679.0,461.0
